date,city,casos,tipo,diario
Abr 25,Belford Roxo,164,previsao,20
Abr 25,Duque de Caxias,303,previsao,13
Abr 25,Niteroi,316,previsao,22
Abr 25,Petropolis,87,previsao,9
Abr 25,Rio de Janeiro,4953,previsao,626
Abr 25,Sao Goncalo,298,previsao,40
Abr 25,Volta Redonda,288,previsao,11
Abr 24,Barra Mansa,27,previsao,3
Abr 24,Belford Roxo,144,previsao,10
Abr 24,Duque de Caxias,290,previsao,29
Abr 24,Estado RJ,6898,previsao,918
Abr 24,Niteroi,294,previsao,30
Abr 24,Petropolis,78,previsao,9
Abr 24,Rio de Janeiro,4327,previsao,178
Abr 24,Sao Goncalo,258,previsao,12
Abr 24,Volta Redonda,277,previsao,25
Abr 23,Barra Mansa,24,previsao,1
Abr 23,Belford Roxo,134,previsao,19
Abr 23,Duque de Caxias,261,previsao,33
Abr 23,Estado RJ,5980,previsao,261
Abr 23,Niteroi,264,previsao,11
Abr 23,Petropolis,69,previsao,7
Abr 23,Rio de Janeiro,4149,previsao,52
Abr 23,Sao Goncalo,246,previsao,26
Abr 23,Volta Redonda,252,previsao,28
Abr 22,Barra Mansa,23,previsao,1
Abr 22,Belford Roxo,115,previsao,15
Abr 22,Duque de Caxias,228,previsao,16
Abr 22,Estado RJ,5719,previsao,77
Abr 22,Niteroi,253,previsao,17
Abr 22,Petropolis,62,previsao,2
Abr 22,Rio de Janeiro,4097,previsao,126
Abr 22,Sao Goncalo,220,previsao,30
Abr 22,Volta Redonda,224,previsao,14
Abr 21,Barra Mansa,22,previsao,0
Abr 21,Belford Roxo,100,previsao,6
Abr 21,Duque de Caxias,212,previsao,32
Abr 21,Estado RJ,5642,previsao,184
Abr 21,Niteroi,236,previsao,10
Abr 21,Petropolis,60,previsao,5
Abr 21,Rio de Janeiro,3971,previsao,76
Abr 21,Sao Goncalo,190,previsao,14
Abr 21,Volta Redonda,210,previsao,27
Abr 20,Barra Mansa,22,previsao,1
Abr 20,Belford Roxo,94,previsao,7
Abr 20,Duque de Caxias,180,previsao,24
Abr 20,Estado RJ,5458,previsao,112
Abr 20,Niteroi,226,previsao,19
Abr 20,Petropolis,55,previsao,6
Abr 20,Rio de Janeiro,3895,previsao,275
Abr 20,Sao Goncalo,176,previsao,28
Abr 20,Volta Redonda,183,previsao,21
Abr 19,Barra Mansa,21,previsao,2
Abr 19,Belford Roxo,87,previsao,5
